currency,avg_daily_return,std_daily_return,avg_rolling_volatility
AED,0.004608450956445232,0.35940467438614265,0.3423790419623854
AFN,0.005295931788164217,0.8320854309562915,0.7197281251233602
ALL,-0.011743435475412041,0.5598900198300425,0.3493082247194994
AMD,-0.0005473350287770557,0.4807479768718397,0.44660533736678537
ANG,-0.0030848183221683606,0.5067556389569006,0.4816003135995556
AOA,0.1261004957758582,5.058966049657338,1.7997708381431632
ARS,0.18568386632439265,2.5055752997766314,1.0349909942898237
AUD,0.0019558593834143696,0.639995047238813,0.570961725397915
AWG,-0.003737732037118076,0.49920174030025855,0.4722019405154783
AZN,0.032311610721691184,1.3141815963966825,0.7414281436776322
BAM,0.0009199437696748073,0.4147515883547219,0.3837954468518689
BBD,-0.0049337184164370985,0.5339673288611153,0.49919817303685576
BDT,1.6794139016998673,90.63607630381806,10.01524791125986
BGN,0.00021855131557979875,0.17869791150841877,0.09594084267995692
BHD,0.004606842365875567,0.3795485860532108,0.3614525768735404
BIF,0.0218010859087353,0.944448249545323,0.6676061004866742
BMD,-0.003810469115548339,0.4778352573055728,0.4535979188308371
BND,-0.003093951322501229,0.4237907712547374,0.3907016644357585
BOB,-0.002924588318185799,0.5416677253027821,0.5183431097789167
BRL,0.033386738016025666,0.810579849048583,0.747523965345333
BSD,-0.003432357927191462,0.5537605680238595,0.5230246959028695
BTC,-0.1457729710646559,2.5998947497969356,2.523377666555309
BTN,0.00957691792868348,0.5861910220038054,0.5562653090201755
BWP,0.011014652807583063,0.5462945320485788,0.5271934348583549
BYN,0.02466687244923268,1.0648108344294747,0.7125638292837843
BYR,0.052988265767095075,0.9555639337553286,0.7482805742217435
BZD,-0.0035358252908581933,0.48331682351732824,0.4584484211103429
CAD,0.0008963654540122974,0.544299686050077,0.5142676119072098
CDF,0.041022763795998,1.115217564216218,0.7805320174586562
CHF,-0.00748653051339509,0.46249664669531204,0.3397830014943812
CLF,0.0057885020021524545,1.4599437952791066,0.9318400583047994
CLP,0.01371325921532897,0.7883919446492343,0.7549470515894242
CNY,-0.003379673589863642,0.5564438237201333,0.5144274541571782
COP,0.022930656202303727,0.9016245209671273,0.8492804363886457
CRC,-0.005891405775242403,0.5827118124087918,0.5620315606627992
CUC,-0.008963410007915265,0.6007688708122781,0.5259621158037798
CUP,0.004616906933465541,0.3537009860710331,0.33601851369180097
CVE,0.0010766074698531592,0.4511837433641156,0.40950124408206573
CZK,-0.0005580111750847266,0.28934015846826894,0.23003151849769082
DJF,-0.004488430628296476,0.5386722720028703,0.501131489853792
DKK,0.00012121989705083247,0.05612519958535276,0.04277152057283419
DOP,0.08853616140886332,3.866734277098592,1.3835451055897217
DZD,0.011396012218220512,0.45428822547039893,0.4196094440879161
EGP,0.07714683547429761,1.7953094161235186,0.8661551223821293
ERN,-0.0024087000204850995,0.7428687080778024,0.6425922101448169
ETB,0.07708680471016956,1.1849486450858022,0.79827508904435
EUR,0.0,0.0,0.0
FJD,0.15831534817457918,9.04240693307264,1.7678470181036878
FKP,0.0033012575870796576,0.5078510682501667,0.4786350384402579
GBP,0.005009788844194899,0.4923863827786935,0.45110445985813497
GEL,0.01484059222111493,0.7497005767289651,0.6887993980294698
GGP,-0.0066740556422251514,0.5002129152833232,0.4719287260124551
GHS,0.06057142974576126,1.3829852684832293,1.1010481853905065
GIP,-0.0066683991528900385,0.501343946894539,0.4719713521201495
GMD,0.017340564015147053,0.8226548668420923,0.7004727534562998
GNF,0.005823380067405021,0.8518475631771015,0.7076131507122052
GTQ,-0.003216334465310982,0.5040621739022901,0.47381550238780534
GYD,-0.0025132947680121904,0.6063299290551505,0.5791876397977953
HKD,-0.0017716882104023097,0.5477761642339765,0.5073497421018817
HNL,0.019619272063703848,2.0933210756860494,0.719801758711617
HRK,-0.00041527075697072956,0.23463960883056886,0.18365335647647477
HTG,0.04074607303436915,1.2523545798175564,0.9773165206852303
HUF,0.010325066518167957,0.4393672988350108,0.3986845081651534
IDR,0.02530702060421501,2.1817313022683047,0.7690488543249561
ILS,-0.004758642291876172,0.5467587618339106,0.5191020431723212
IMP,-0.006671692228571197,0.5006877306705453,0.47193569164864974
INR,0.007915394490622943,0.5060498916166057,0.47553029974762123
IQD,0.005220527668871539,0.384433614087855,0.3636268500574537
IRR,0.012306806357602998,0.5392087161799094,0.48625887704309817
ISK,-0.0012186404868231293,0.4823416843293465,0.43884029663566354
JEP,-0.0066683991528900385,0.501343946894539,0.4719713521201495
JMD,0.007724564030271892,0.4238684434986713,0.40657359343511723
JOD,-0.003824033789357186,0.4854415859094496,0.460528192429475
JPY,0.006090806614367849,0.695574051953103,0.6236189026473392
KES,-0.018793886898034635,0.7507762960823364,0.6793507891757834
KGS,0.014243456591838611,0.8239194361230192,0.6143341392853334
KHR,-0.0035930610939821092,0.6009863571501161,0.5657539660048825
KMF,0.011525874623579185,1.6239273571616823,0.4196350642713047
KPW,0.004621906269920382,0.3536259696547331,0.3358717016952749
KRW,0.00697569109617946,0.5321485939052242,0.5027066295439057
KWD,-0.0018672780063665475,0.4723276153455338,0.45194761947698225
KYD,-0.0030656631426935125,0.49476278567518966,0.4656217603419705
KZT,0.0353115454977514,0.9511552472628867,0.725250940392171
LAK,0.013864255155078834,0.4044864814728026,0.38617218520810476
LBP,0.4885432228387898,19.38209613055227,3.190108186333824
LKR,0.027246105850806206,0.7161969510543202,0.5946457076285803
LRD,0.03154517386630212,1.083968795216881,0.8280747463119779
LSL,0.019989031977527334,1.0669435095835853,1.001457046114288
LTL,-0.013104089854926565,0.5252646596982741,0.416087347324724
