date,mean,mean_ci_lower,mean_ci_upper,currency
2025-09-04,162.5933614349229,143.85687024456465,181.32985262528118,JPY
2025-09-05,162.5933614349229,143.79950912597516,181.38721374387066,JPY
2025-09-06,162.5933614349229,143.74232254857216,181.44440032127366,JPY
2025-09-07,162.5933614349229,143.68530892867904,181.5014139411668,JPY
2025-09-08,162.5933614349229,143.62846670642406,181.55825616342176,JPY
2025-09-09,162.5933614349229,143.57179434524255,181.61492852460327,JPY
2025-09-10,162.5933614349229,143.51529033139207,181.67143253845376,JPY
2025-09-11,162.5933614349229,143.45895317348072,181.7277696963651,JPY
2025-09-12,162.5933614349229,143.40278140200795,181.78394146783788,JPY
2025-09-13,162.5933614349229,143.34677356891711,181.8399493009287,JPY
2025-09-14,162.5933614349229,143.29092824716002,181.8957946226858,JPY
2025-09-15,162.5933614349229,143.2352440302728,181.951478839573,JPY
2025-09-16,162.5933614349229,143.17971953196238,182.00700333788345,JPY
2025-09-17,162.5933614349229,143.12435338570396,182.06236948414187,JPY
2025-09-18,162.5933614349229,143.06914424434854,182.1175786254973,JPY
2025-09-19,162.5933614349229,143.01409077974049,182.17263209010534,JPY
2025-09-20,162.5933614349229,142.95919168234474,182.22753118750109,JPY
2025-09-21,162.5933614349229,142.90444566088337,182.28227720896246,JPY
2025-03-26,7.831978827944622,7.754958149746213,7.90899950614303,CNY
2025-03-27,7.8318755692719675,7.724615517793671,7.939135620750264,CNY
2025-03-28,7.831892606468164,7.700988754418709,7.96279645851762,CNY
2025-03-29,7.83188979541078,7.681034785204126,7.982744805617434,CNY
2025-03-30,7.831890259222051,7.663425880187703,8.000354638256399,CNY
2025-03-31,7.8318901826953695,7.647491168750743,8.016289196639995,CNY
2025-04-01,7.831890195321913,7.632827920720249,8.030952469923577,CNY
2025-04-02,7.831890193238593,7.6191730692910635,8.044607317186122,CNY
2025-04-03,7.831890193582331,7.606343387674431,8.05743699949023,CNY
2025-04-04,7.8318901935256156,7.594205216518912,8.06957517053232,CNY
2025-04-05,7.831890193534973,7.582657501124193,8.081122885945755,CNY
2025-04-06,7.83189019353343,7.571621636783562,8.092158750283296,CNY
2025-04-07,7.831890193533685,7.561035050883839,8.10274533618353,CNY
2025-04-08,7.831890193533643,7.550846967379849,8.112933419687437,CNY
2025-04-09,7.83189019353365,7.54101550980538,8.12276487726192,CNY
2025-04-10,7.831890193533649,7.531505659475876,8.132274727591422,CNY
2025-04-11,7.831890193533649,7.5222877791887495,8.141492607878549,CNY
2025-04-12,7.831890193533649,7.513336522019293,8.150443865048004,CNY
2025-04-13,7.831890193533649,7.504630009120144,8.159150377947153,CNY
2025-04-14,7.831890193533649,7.496149199656753,8.167631187410546,CNY
2025-04-15,7.831890193533649,7.487877400695169,8.17590298637213,CNY
2025-04-16,7.831890193533649,7.4797998808245145,8.183980506242783,CNY
2025-04-17,7.831890193533649,7.47190356187811,8.191876825189189,CNY
2025-04-18,7.831890193533649,7.464176770284258,8.19960361678304,CNY
2025-04-19,7.831890193533649,7.45660903452767,8.207171352539628,CNY
2025-04-20,7.831890193533649,7.449190918682028,8.21458946838527,CNY
2025-04-21,7.831890193533649,7.44191388445957,8.221866502607728,CNY
2025-04-22,7.831890193533649,7.434770176024928,8.22901021104237,CNY
2025-04-23,7.831890193533649,7.427752723143669,8.236027663923629,CNY
2025-04-24,7.831890193533649,7.420855059219931,8.242925327847368,CNY
2025-04-25,7.831890193533649,7.414071251517635,8.249709135549663,CNY
2025-04-26,7.831890193533649,7.407395841422262,8.256384545645037,CNY
2025-04-27,7.831890193533649,7.40082379303188,8.262956594035419,CNY
2025-04-28,7.831890193533649,7.394350448700523,8.269429938366775,CNY
2025-04-29,7.831890193533649,7.3879714904181775,8.27580889664912,CNY
2025-04-30,7.831890193533649,7.381682906117278,8.28209748095002,CNY
2025-05-01,7.831890193533649,7.375480960158718,8.28829942690858,CNY
2025-05-02,7.831890193533649,7.369362167380663,8.294418219686635,CNY
2025-05-03,7.831890193533649,7.363323270198185,8.300457116869113,CNY
2025-05-04,7.831890193533649,7.3573612183265,8.306419168740799,CNY
